dataset_id,random_forest,support_vector_machine,linear_models,xgboost,decision_tree
1050,0.9014715,0.9001920716570697,0.897633,0.899232,0.897633
1068,0.937782,0.935077,0.930568,0.93147,0.930568
40975,0.966724537037037,1.0,0.8998842592592592,0.9991319444444444,0.8142361111111112
40927,0.4101,0.3335997991579569,0.34059992169908454,0.3494997542352105,0.1902998333333332
1461,0.9067375,0.900876,0.901219,0.901473,0.8957886355090576
1468,0.8708333333333333,0.9087962962962964,0.9527777777777776,0.2296296296296296,0.8245370370370371
1067,0.862968,0.8570412517780939,0.860597,0.859649,0.845424
554,0.9643642857142856,0.9810285714285714,0.9296998571428572,0.8918499999999999,0.8813857142857142
32,0.990948,0.9958606259097528,0.935589519650655,0.9214883551673944,0.963382459970888
50,0.9879958246346556,0.9984341586638832,0.983299,0.9838205,0.930584735908142
3,0.9946809255319148,0.9954630788485608,0.9646433041301627,0.975907,0.944149
182,0.9157855,0.915863141524106,0.8356920684292379,0.8663297045101088,0.8631415241057543
1501,0.91368487131199,0.951035781544256,0.9196484620213434,0.7532956685499058,0.7485875706214689
1590,0.865597231890586,0.8521559313705418,0.8515826542729619,0.8268293681667418,0.8494431022480652
18,0.7175,0.7417500000000001,0.742,0.68325,0.7132499999999999
40670,0.9537037037037036,0.9576271186440678,0.9548022598870056,0.9635907093534212,0.623352165725047
16,0.961,0.9785,0.953,0.87,0.81075
29,0.8688405797101448,0.8579710144927536,0.8623188405797102,0.8666666666666667,0.8623188405797102
11,0.8815999999999999,0.9648,0.8640000000000001,0.8688,0.7848
23517,0.5167254983388705,0.5209250415282392,0.5223629568106313,0.5192691029900333,0.5086586013289036
44,0.9453381811562704,0.9272985,0.9244729406650728,0.9326235,0.8580745000000001
28,0.9795373665480428,0.9890569395017792,0.9654804270462634,0.9251779359430604,0.9058718790035588
40994,0.9407407407407408,0.9574074074074076,0.9638888888888888,0.9453703703703704,0.9148148148148147
1475,0.6292088917947041,0.5705295848316443,0.4807126511932004,0.5168355671788165,0.5451127819548872
1486,0.967387,0.9622662349484984,0.9493399100536776,0.963064,0.9516756129406644
41027,0.827483879604632,0.844608313438497,0.6827907806956871,0.8741158883509226,0.7900109328632947
40966,0.9870370370370368,0.9972222222222222,0.9930555555555556,0.9898148148148148,0.8518518518518519
4538,0.6726425605185861,0.5690772814747291,0.4742226273675681,0.4851615517066747,0.5284108173807354
1489,0.8971130284974094,0.8790710584752035,0.7491674518874907,0.8641745000000001,0.7961695
469,0.213927227101631,0.2151819322459221,0.2245922208281054,0.1982434127979924,0.210163174404015
1487,0.94337,0.941397,0.941397,0.942384,0.936858721389108
1480,0.713551,0.7161234999999999,0.7212695,0.725557,0.713551
458,0.980975029726516,0.9964328180737216,0.9988109393579072,0.9530323174791916,0.941141498216409
40982,0.8013910355486862,0.7609479649665121,0.713292117465224,0.8052550231839258,0.7166409067490984
1053,0.819935691318328,0.8109324758842444,0.8133670188332567,0.8065227377124483,0.8065227377124483
40978,0.9460201280878316,0.962336078072583,0.953949374809393,0.9760597743214394,0.965233
1497,0.99633431085044,0.9254948680351908,0.6929985337243402,0.970766129032258,0.9945014486803518
