repetition,mae,mse,r2
1,0.0719916337841698,0.012971632191638747,0.5050976815283491
2,0.07173578799582021,0.013061349339196898,0.5022939378940519
3,0.07091138382653432,0.013141977271962323,0.4993336084938268
4,0.0711668070324053,0.013514431518563306,0.48675735982589485
5,0.07287197887583341,0.01342142610301487,0.4882202730267505
6,0.07236234139010704,0.013451031390643858,0.489347644512084
7,0.07038039130806391,0.013080510110644358,0.5015956475302623
8,0.07164302441335577,0.01316923601458957,0.49919331429864117
9,0.07078356773119383,0.013072649915744482,0.5017462423217343
10,0.0724933925891362,0.013418113312959942,0.4906877807240953
