repetition,algorithm,mae
1,random_forest,0.12137769241694674
1,support_vector_machine,0.1336609545762771
1,linear_models,0.13753544981947616
1,xgboost,0.1461204091817091
1,decision_tree,0.12564187539686764
2,random_forest,0.12272512290879099
2,support_vector_machine,0.13532822424676208
2,linear_models,0.1385216382027988
2,xgboost,0.1479190546326583
2,decision_tree,0.12482794896276023
3,random_forest,0.11829765881725773
3,support_vector_machine,0.1315907015687507
3,linear_models,0.13543718472561703
3,xgboost,0.14600501817309697
3,decision_tree,0.12218389419227055
4,random_forest,0.12050536469323456
4,support_vector_machine,0.1317378681572134
4,linear_models,0.13520257310258377
4,xgboost,0.14592902477131026
4,decision_tree,0.12470693731809249
5,random_forest,0.12286973020527621
5,support_vector_machine,0.13664126349107716
5,linear_models,0.13922560815056878
5,xgboost,0.14786559735565216
5,decision_tree,0.12668071995114896
6,random_forest,0.11934449706555113
6,support_vector_machine,0.13110988332557927
6,linear_models,0.1348303606650831
6,xgboost,0.1439575092501781
6,decision_tree,0.1218669971430229
7,random_forest,0.11832445787680178
7,support_vector_machine,0.13105426200922488
7,linear_models,0.13747559537558188
7,xgboost,0.14589319490392305
7,decision_tree,0.12198902613951734
8,random_forest,0.1198482302925725
8,support_vector_machine,0.13323744465105136
8,linear_models,0.1397454694035842
8,xgboost,0.1448916076352507
8,decision_tree,0.1235544855934119
9,random_forest,0.12068024204101091
9,support_vector_machine,0.13274177844872423
9,linear_models,0.13684835341266277
9,xgboost,0.14535343337361656
9,decision_tree,0.12394240970766947
10,random_forest,0.12114113062465605
10,support_vector_machine,0.13482452489418958
10,linear_models,0.13882183608818796
10,xgboost,0.1462262023345839
10,decision_tree,0.12479261548574073
