Feature Set,Mean MAE,Std MAE,Mean MSE,Std MSE,Mean R²,Std R²
D2v,0.13222066125519147,0.001353500520612784,0.033108755113729925,0.0005672808931414782,-0.28382805850973314,0.022205555944276492
Hybrid,0.071634030894662,0.000772993263193671,0.013230235716895836,0.0001885549491796794,0.49642734901556906,0.006516287454038514
Traditional,0.07093646749052086,0.000680326145551974,0.012929571636716115,0.0002048288312840878,0.5087913031877671,0.0075064508804687825
