repetition,algorithm,mae
1,random_forest,0.06091987489983494
1,support_vector_machine,0.06255940741320137
1,linear_models,0.07519039945686558
1,xgboost,0.08946050114494018
1,decision_tree,0.06619626726488215
2,random_forest,0.06155851095992691
2,support_vector_machine,0.061850879397857286
2,linear_models,0.07436015441366024
2,xgboost,0.0890994973763327
2,decision_tree,0.0680543209786011
3,random_forest,0.060382134665759785
3,support_vector_machine,0.060038379273627845
3,linear_models,0.07419256541775016
3,xgboost,0.08834217696651492
3,decision_tree,0.0657087809650989
4,random_forest,0.05954439428183697
4,support_vector_machine,0.06048508681449966
4,linear_models,0.07611447402476276
4,xgboost,0.09072597466116297
4,decision_tree,0.06684964654273351
5,random_forest,0.060187610469565084
5,support_vector_machine,0.06205750769892888
5,linear_models,0.07526815717527846
5,xgboost,0.09165436073798659
5,decision_tree,0.06742544700917434
6,random_forest,0.06288638289190938
6,support_vector_machine,0.0620880702371209
6,linear_models,0.07650378410353964
6,xgboost,0.09370207503750658
6,decision_tree,0.06664579738338566
7,random_forest,0.060766000168133
7,support_vector_machine,0.06168034381274613
7,linear_models,0.07327774705880467
7,xgboost,0.09130444889350804
7,decision_tree,0.06587424259663897
8,random_forest,0.060452368805931994
8,support_vector_machine,0.061681578866264006
8,linear_models,0.07596863292633652
8,xgboost,0.09226722780427848
8,decision_tree,0.06705995039261423
9,random_forest,0.06100443169736103
9,support_vector_machine,0.06125798965107711
9,linear_models,0.07494847395121865
9,xgboost,0.0884576503139949
9,decision_tree,0.06546517592384365
10,random_forest,0.06049836567602286
10,support_vector_machine,0.060919506912433384
10,linear_models,0.07518220355664483
10,xgboost,0.0909549011947007
10,decision_tree,0.06774951465924439
