accuracy
0.982255
0.653445
0.653445
0.982255
0.983299
0.983299
0.983299
0.653445
0.653445
0.983299
0.653445
0.653445
0.653445
0.983299
0.983299
0.653445
0.653445
0.779749
0.653445
0.653445
0.653445
0.751566
0.983299
0.732777
0.653445
0.753653
0.653445
0.653445
0.653445
0.653445
0.748434
0.75261
0.653445
0.653445
0.983299
0.653445
0.983299
0.653445
0.653445
0.653445
0.653445
0.653445
0.983299
0.653445
0.653445
0.8016701461377871
0.9822546972860126
0.9822546972860126
0.8016701461377871
0.9832985386221295
