accuracy
0.77983
0.866768
0.849381
0.77983
0.605955
0.605955
0.605955
0.605955
0.605955
0.77983
0.809389
0.605955
0.605955
0.605955
0.605955
0.605955
0.77983
0.870028
0.77983
0.77983
0.605955
0.77983
0.892632
0.605955
0.605955
0.605955
0.77983
0.605955
0.605955
0.77983
0.77983
0.605955
0.844164
0.77983
0.77983
0.77983
0.605955
0.605955
0.605955
0.605955
0.605955
0.809389
0.605955
0.77983
0.77983
0.605955
0.605955
0.6059552271245381
0.9161051945229297
0.9078461204086068
