Feature Set,Mean Accuracy,Std Dev,Min,Max,Mean ± Std
D2v,0.49259259259259264,0.01228379551983482,0.46296296296296297,0.5,0.493 ± 0.012
Hybrid,0.587037037037037,0.02037037037037038,0.5555555555555556,0.6111111111111112,0.587 ± 0.02
Traditional,0.625925925925926,0.016144070161261754,0.5925925925925926,0.6481481481481481,0.626 ± 0.016
