repetition,accuracy
1,0.5925925925925926
2,0.5555555555555556
3,0.6111111111111112
4,0.5925925925925926
5,0.5740740740740741
6,0.5925925925925926
7,0.6111111111111112
8,0.5740740740740741
9,0.5555555555555556
10,0.6111111111111112
