repetition,accuracy
1,0.2777777777777778
2,0.3333333333333333
3,0.3055555555555556
4,0.3055555555555556
5,0.2916666666666667
6,0.3472222222222222
7,0.3194444444444444
8,0.3055555555555556
9,0.3333333333333333
10,0.3333333333333333
