repetition,accuracy
1,0.4861111111111111
2,0.5138888888888888
3,0.5138888888888888
4,0.4444444444444444
5,0.4861111111111111
6,0.5138888888888888
7,0.4722222222222222
8,0.4305555555555556
9,0.4583333333333333
10,0.4722222222222222
