Feature Set,Mean Accuracy,Std Dev,Min,Max,Mean ± Std
D2v,0.3152777777777778,0.02064731770460902,0.2777777777777778,0.3472222222222222,0.315 ± 0.021
Hybrid,0.47916666666666663,0.027950849718747353,0.4305555555555556,0.5138888888888888,0.479 ± 0.028
Traditional,0.5194444444444444,0.0216951379886296,0.4861111111111111,0.5555555555555556,0.519 ± 0.022
