repetition,accuracy
1,0.4861111111111111
2,0.5555555555555556
3,0.5138888888888888
4,0.5277777777777778
5,0.5416666666666666
6,0.5277777777777778
7,0.5
8,0.5277777777777778
9,0.5277777777777778
10,0.4861111111111111
