accuracy
0.59875
0.4525
0.46375
0.4425
0.56375
0.50875
0.529375
0.5475
0.559375
0.5175
0.56
0.490625
0.5475
0.47125
0.49375
0.574375
0.496875
0.45875
0.55125
0.4925
0.52625
0.573125
0.536875
0.4925
0.534375
0.48125
0.4525
0.544375
0.506875
0.376875
0.3875
0.569375
0.54625
0.5625
0.491875
0.511875
0.5375
0.4675
0.63
0.564375
0.58
0.57625
0.541875
0.444375
0.00625
0.00625
0.483125
0.48875
0.626875
0.595625
