accuracy
0.328125
0.0075
0.0075
0.0075
0.01125
0.00625
0.01125
0.00625
0.0075
0.00625
0.0075
0.00625
0.00625
0.11875
0.01125
0.01
0.0075
0.01
0.0075
0.01
0.01
0.00625
0.00875
0.013125
0.0075
0.0075
0.0075
0.01
0.01
0.0075
0.01
0.034375
0.00875
0.00875
0.0075
0.06375
0.041875
0.01
0.00125
0.0075
0.01
0.045
0.01
0.01
0.00875
0.024375
0.035
0.015
0.01
0.01125
