Feature Set,Mean MAE,Std MAE,Mean MSE,Std MSE,Mean R²,Std R²
D2v,0.1124256190963846,0.0012774631114054573,0.023552070661823306,0.0005148297695487437,-0.08553599237739867,0.02243545578678104
Hybrid,0.05762287370102078,0.0007419929170658417,0.00896870407844716,0.00015350622975913503,0.6755588319953445,0.004212806417483922
Traditional,0.05774591111256304,0.0007468456660816822,0.00927154574265389,0.00016620678790575433,0.6699854441919423,0.007443748363309903
