repetition,mae,mse,r2
1,0.11314848408042859,0.024056446182322104,-0.10553508570181944
2,0.11252247866521543,0.02328755983083767,-0.08608599760632182
3,0.11438233030155406,0.02415660862298402,-0.11307969259328021
4,0.11133884590457113,0.0230505863148732,-0.0630659261982834
5,0.10983021925609597,0.02240106677988405,-0.033379872282386945
6,0.11214888832068057,0.023703456139680043,-0.09043823641598678
7,0.11253546950116981,0.023895537282011336,-0.08961411436290645
8,0.11125174582509026,0.023322521516054445,-0.07319466328688513
9,0.1137090569353926,0.02397091952099872,-0.10267437597247323
10,0.11338867217364756,0.02367600442858746,-0.09829195935364335
