repetition,algorithm,mae
1,random_forest,0.04008880914998442
1,support_vector_machine,0.046610268717888946
1,linear_models,0.08536558336709878
1,xgboost,0.08240259668257688
1,decision_tree,0.03664920285153678
2,random_forest,0.04003926011045958
2,support_vector_machine,0.046531759611544626
2,linear_models,0.08406003530498457
2,xgboost,0.08011629773963451
2,decision_tree,0.03482356576303209
3,random_forest,0.03901206318876073
3,support_vector_machine,0.046607155262609626
3,linear_models,0.08341362896025818
3,xgboost,0.08032519189760301
3,decision_tree,0.03721514251763586
4,random_forest,0.039260885247465724
4,support_vector_machine,0.04564729203355288
4,linear_models,0.08464582600292371
4,xgboost,0.07846363014385475
4,decision_tree,0.035802512107614384
5,random_forest,0.040209243306782404
5,support_vector_machine,0.04729759327307907
5,linear_models,0.08852414060280402
5,xgboost,0.08333086260919201
5,decision_tree,0.03516936918532626
6,random_forest,0.04055287188469353
6,support_vector_machine,0.047042607999600035
6,linear_models,0.08180046859577011
6,xgboost,0.0804207044236632
6,decision_tree,0.03564830977043121
7,random_forest,0.04007503122754949
7,support_vector_machine,0.04684990673531836
7,linear_models,0.08487267306290301
7,xgboost,0.08068907751990276
7,decision_tree,0.03450506055357906
8,random_forest,0.03819927110849014
8,support_vector_machine,0.04608562782949078
8,linear_models,0.08493940845334935
8,xgboost,0.080740152422981
8,decision_tree,0.03459729454701348
9,random_forest,0.03999582940309302
9,support_vector_machine,0.04720371209800421
9,linear_models,0.08490699182902466
9,xgboost,0.08584825937669532
9,decision_tree,0.036425690565050274
10,random_forest,0.040156309931046505
10,support_vector_machine,0.04666039216546983
10,linear_models,0.08582949931119793
10,xgboost,0.08028619238825112
10,decision_tree,0.03520042621026701
